Site,Area,Habitat,Transect,PQ,Turf_CCA,Coral,Ecklonia radiata,Other,Macroalgae,Sand,Sponge,Other_invertebrate
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (4).JPG,20,0,0,1,0,1,0,3
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (6).JPG,15,1,4,2,0,0,0,3
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (7).JPG,14,3,3,3,1,0,0,1
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (8).JPG,8,0,1,1,0,15,0,0
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (9).JPG,13,1,0,8,1,0,0,2
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (10).JPG,13,0,3,5,0,0,0,4
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (11).JPG,19,0,3,3,0,0,0,0
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (12).JPG,18,0,0,3,0,0,0,4
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (13).JPG,17,0,3,0,0,0,0,5
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (14).JPG,2,0,0,0,0,22,0,1
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (15).JPG,13,0,4,0,2,0,0,6
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (2).JPG,15,0,2,8,0,0,0,0
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (3).JPG,21,0,0,4,0,0,0,0
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (4).JPG,22,0,2,1,0,0,0,0
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (5).JPG,14,0,6,5,0,0,0,0
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (6).JPG,23,0,2,0,0,0,0,0
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (7).JPG,16,1,2,4,0,0,0,2
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (8).JPG,16,3,0,2,0,0,0,4
Corindi,Solitaries,Inshore,T3,CORINDI_13Jan2021_T3 (9).JPG,2,1,9,5,7,0,0,1
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (10).JPG,12,2,1,7,0,1,0,2
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (11).JPG,15,0,3,3,0,4,0,0
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (12).JPG,10,2,5,1,0,7,0,0
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (13).JPG,12,4,0,5,0,0,0,4
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (14).JPG,13,1,1,3,0,5,0,2
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (15).JPG,18,1,1,5,0,0,0,0
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (16).JPG,13,5,0,0,0,7,0,0
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (17).JPG,12,0,8,3,0,2,0,0
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (2).JPG,0,1,5,7,11,0,0,1
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (3).JPG,14,0,1,3,2,3,1,1
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (4).JPG,15,0,5,4,0,1,0,0
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (5).JPG,1,0,3,0,0,21,0,0
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (6).JPG,0,0,12,2,0,11,0,0
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (7).JPG,21,0,0,1,1,0,0,2
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (8).JPG,14,0,6,2,0,2,0,1
Corindi,Solitaries,Inshore,T4,CORINDI_13Jan2021_T4 (9).JPG,11,5,1,4,0,0,0,4
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (10).JPG,24,0,0,1,0,0,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (11).JPG,24,0,0,0,0,1,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (12).JPG,23,0,0,0,0,2,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (13).JPG,17,0,0,3,0,5,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (14).JPG,9,0,0,2,0,14,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (15).JPG,12,0,0,0,0,13,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (16).JPG,2,0,5,0,0,18,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (2).JPG,20,0,0,0,5,0,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (3).JPG,21,0,0,3,0,1,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (4).JPG,22,0,0,1,0,1,0,1
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (5).JPG,21,0,0,0,0,4,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (6).JPG,23,0,0,0,0,2,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (7).JPG,19,0,0,0,0,6,0,0
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (8).JPG,13,2,0,1,0,8,0,1
Tollgate_Channel,Tollgates,Island,T1,Tollgate Channel_30Apr2021_T1 (9).JPG,15,0,0,1,0,9,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (10).JPG,22,0,0,3,0,0,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (11).JPG,21,0,0,0,0,4,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (12).JPG,10,0,0,1,2,11,0,1
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (13).JPG,16,0,0,0,0,8,0,1
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (14).JPG,17,0,0,0,0,8,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (15).JPG,16,0,0,0,0,8,0,1
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (16).JPG,13,0,0,1,0,10,0,1
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (17).JPG,17,0,0,1,0,7,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (18).JPG,12,0,0,1,0,7,0,5
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (19).JPG,8,0,4,0,0,13,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (2).JPG,24,0,0,0,0,1,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (20).JPG,4,0,18,1,0,2,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (21).JPG,9,0,0,1,0,15,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (3).JPG,18,0,0,1,0,6,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (4).JPG,18,0,0,1,0,6,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (5).JPG,10,0,0,1,3,11,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (6).JPG,16,0,0,1,0,6,0,2
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (7).JPG,16,0,0,3,0,6,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (8).JPG,20,0,0,3,0,2,0,0
Tollgate_Channel,Tollgates,Island,T2,Tollgate Channel_30Apr2021_T2 (9).JPG,20,0,0,0,0,5,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (10).JPG,17,0,0,0,0,8,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (11).JPG,9,0,0,0,0,16,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (12).JPG,13,0,0,0,0,12,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (13).JPG,17,0,0,0,0,8,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (14).JPG,5,0,0,0,0,20,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (15).JPG,15,0,0,0,0,9,0,1
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (16).JPG,18,0,0,0,0,3,0,4
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (17).JPG,16,0,0,1,0,7,0,1
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (18).JPG,15,0,0,3,0,4,0,3
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (19).JPG,7,0,0,0,0,18,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (2).JPG,11,0,0,0,0,14,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (20).JPG,9,0,0,1,0,15,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (21).JPG,19,0,0,0,0,5,0,1
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (22).JPG,11,0,0,0,0,10,0,4
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (23).JPG,9,0,0,0,0,16,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (3).JPG,22,0,0,0,0,3,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (4).JPG,19,0,0,0,0,2,0,4
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (5).JPG,9,0,0,4,0,11,0,1
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (6).JPG,12,0,0,1,0,11,0,1
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (7).JPG,10,0,0,7,0,8,0,0
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (8).JPG,15,0,0,0,0,9,0,1
Tollgate_Channel,Tollgates,Island,T3,Tollgate Channel_30Apr2021_T3 (9).JPG,15,0,0,0,0,10,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (10).JPG,14,0,0,0,1,10,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (11).JPG,11,0,0,2,0,8,0,4
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (12).JPG,22,0,0,0,1,2,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (13).JPG,15,0,0,1,0,8,0,1
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (14).JPG,18,0,0,0,0,7,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (15).JPG,8,0,0,1,0,16,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (2).JPG,6,0,0,0,0,19,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (3).JPG,9,0,0,2,0,13,0,1
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (4).JPG,4,0,0,2,0,19,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (5).JPG,10,0,0,0,0,12,0,3
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (6).JPG,9,0,0,1,0,11,0,4
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (7).JPG,16,0,0,1,0,8,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (8).JPG,21,0,0,1,0,3,0,0
Tollgate_Channel,Tollgates,Island,T4,Tollgate Channel_30Apr2021_T4 (9).JPG,18,0,0,1,0,6,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (10).JPG,20,0,0,0,0,5,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (11).JPG,18,0,0,0,0,4,0,3
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (12).JPG,9,0,0,1,0,14,0,1
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (13).JPG,11,0,0,4,0,9,0,1
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (14).JPG,19,0,0,1,0,2,0,3
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (15).JPG,20,0,0,3,0,2,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (16).JPG,25,0,0,0,0,0,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (17).JPG,19,0,0,2,0,4,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (18).JPG,20,0,0,1,0,4,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (19).JPG,24,0,0,1,0,0,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (2).JPG,17,0,0,0,0,8,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (3).JPG,22,0,0,1,0,2,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (4).JPG,13,0,0,1,0,11,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (5).JPG,23,0,0,2,0,0,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (6).JPG,15,0,0,2,0,7,0,1
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (7).JPG,15,0,0,0,0,10,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (8).JPG,20,0,0,0,0,5,0,0
Tollgate_Channel,Tollgates,Island,T5,Tollgate Channel_30Apr2021_T5 (9).JPG,11,0,0,2,0,12,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (10).JPG,19,0,0,0,0,3,0,3
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (11).JPG,17,0,0,0,0,8,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (12).JPG,16,0,0,3,0,6,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (13).JPG,18,0,0,3,0,4,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (14).JPG,21,0,0,0,0,3,0,1
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (15).JPG,21,0,0,0,0,3,0,1
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (16).JPG,15,0,0,3,0,5,0,2
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (17).JPG,13,0,0,0,0,12,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (18).JPG,17,0,0,1,0,7,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (19).JPG,19,0,0,1,0,5,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (20).JPG,19,0,0,2,0,4,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (21).JPG,21,0,0,3,0,1,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (22).JPG,22,0,0,1,0,2,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (23).JPG,2,0,0,0,13,10,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (3).JPG,16,0,0,1,0,7,0,1
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (4).JPG,11,0,0,2,0,10,0,2
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (5).JPG,12,0,0,1,0,12,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (6).JPG,10,0,0,0,0,5,0,10
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (7).JPG,22,0,0,0,0,2,0,1
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (8).JPG,17,0,0,0,0,8,0,0
Tollgate_Channel,Tollgates,Island,T6,Tollgate Channel_30Apr2021_T6 (9).JPG,22,0,0,0,0,1,0,2
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (10).JPG,23,1,0,1,0,0,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (11).JPG,18,0,0,0,0,7,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (12).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (14).JPG,0,24,0,0,0,0,0,1
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (15).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (16).JPG,0,23,0,0,0,2,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (17).JPG,0,22,0,0,0,3,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (18).JPG,0,19,0,3,0,1,0,2
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (19).JPG,3,6,0,0,0,16,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (2).JPG,0,24,0,0,0,1,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (20).JPG,1,18,0,5,0,1,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (21).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (22).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (23).JPG,6,18,0,0,0,1,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (24).JPG,0,23,0,2,0,0,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (25).JPG,0,23,0,2,0,0,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (3).JPG,0,0,0,0,0,25,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (5).JPG,0,0,0,0,0,25,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (6).JPG,0,8,0,1,0,15,0,1
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (7).JPG,0,19,0,0,0,6,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (8).JPG,0,0,0,0,0,25,0,0
Blue_Lagoon,Lizard,Island,T1,Blue Lagoon_08Apr2021_T1 (9).JPG,5,0,0,0,0,20,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (10).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (11).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (12).JPG,6,12,0,1,0,6,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (13).JPG,1,15,0,1,0,8,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (14).JPG,0,17,0,1,0,7,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (15).JPG,0,22,0,3,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (16).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (17).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (18).JPG,1,24,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (19).JPG,1,22,0,2,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (2).JPG,25,0,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (20).JPG,1,24,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (21).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (3).JPG,0,0,0,0,0,25,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (6).JPG,0,0,0,0,0,25,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (7).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (8).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T2,Blue Lagoon_08Apr2021_T2 (9).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (10).JPG,0,24,0,0,0,1,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (11).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (12).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (13).JPG,0,25,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (14).JPG,19,6,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (15).JPG,4,19,0,2,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (16).JPG,9,14,0,2,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (17).JPG,3,22,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (18).JPG,0,21,0,4,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (19).JPG,2,18,0,1,0,4,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (2).JPG,0,21,0,3,0,1,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (20).JPG,6,19,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (21).JPG,8,15,0,2,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (22).JPG,18,7,0,0,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (3).JPG,0,23,0,2,0,0,0,0
Blue_Lagoon,Lizard,Island,T3,Blue Lagoon_08Apr2021_T3 (4).JPG,5,19,0,0,0,1,0,0
